driverId,week,hours-logged,miles-logged
405,19,65,1600
349,43,73,3400
969,4,58,1800
633,8,61,2500
262,11,53,1400
625,37,80,500
54,48,53,800
516,25,73,1600
850,5,72,0
458,45,53,400
571,12,71,1700
377,22,74,3100
776,34,56,1900
377,2,72,2400
901,25,78,1600
418,49,50,2300
905,9,58,1900
358,32,68,700
100,26,56,200
381,9,68,3200
864,8,72,900
1009,14,66,3700
973,28,65,1000
528,16,69,2400
779,6,58,1100
189,1,77,2100
377,25,62,3800
357,47,60,2400
213,18,69,2300
129,23,79,700
868,21,67,3700
544,23,55,500
181,47,61,700
178,52,69,2300
225,11,56,3000
558,33,76,2400
813,41,76,3500
55,19,66,1300
786,28,80,2300
274,9,56,800
970,13,57,2000
987,50,79,1500
999,48,74,0
562,7,63,3000
222,28,58,1600
112,8,65,3800
201,22,65,3400
622,42,63,2100
770,38,66,2700
324,32,76,2600
766,23,72,3700
579,1,80,1200
820,48,51,2000
82,49,59,200
316,29,63,1200
899,23,53,1200
69,7,67,1800
691,19,57,2100
640,26,52,2300
780,18,78,2900
198,8,77,100
695,40,78,2800
426,8,69,2800
754,37,72,2400
575,36,60,1700
631,20,50,500
321,17,73,2400
128,14,63,3900
67,9,52,3100
795,31,67,1800
709,6,57,1500
623,35,58,2200
757,38,57,3200
754,14,79,3000
405,13,68,1000
268,13,55,0
917,27,65,1600
780,18,78,700
217,38,57,400
452,34,60,3600
271,31,79,700
451,35,58,300
556,37,65,2800
868,50,64,2600
362,3,59,2400
958,3,63,100
741,21,77,1900
453,21,55,1200
414,5,60,2600
737,2,71,1600
560,26,66,3900
378,10,79,1700
388,11,71,2900
106,5,64,1800
764,48,75,1100
715,4,79,2300
614,32,69,2200
546,14,66,2900
773,34,54,100
390,8,71,800
656,2,72,1800
496,31,67,2300
994,47,54,800
892,38,63,100
901,32,61,1000
108,6,72,1000
930,28,64,2500
725,16,73,200
233,38,51,700
936,51,67,3900
381,8,51,4000
815,44,74,1900
298,35,57,1400
598,23,69,2300
374,27,74,3100
989,3,56,2900
942,23,72,900
584,48,66,3000
523,8,55,2000
920,10,58,2300
405,29,59,600
311,19,50,2000
154,12,55,2700
221,31,75,3300
195,47,69,3300
250,25,80,800
690,22,71,3800
739,34,51,400
969,42,63,600
376,20,69,900
285,10,57,2400
338,35,75,300
256,46,72,3400
657,16,75,1800
156,16,72,200
539,20,70,1900
391,18,72,300
252,5,58,800
210,11,71,1000
939,12,74,3200
894,18,76,3300
711,13,67,1500
542,32,64,3700
250,27,66,2400
899,4,57,1400
601,41,65,600
65,47,69,3100
675,3,78,1200
11,50,68,2100
362,36,63,1800
1003,14,51,2300
713,46,78,1100
368,52,65,3400
419,29,55,3500
1001,39,63,3100
650,32,77,600
361,45,72,3400
327,35,53,3100
357,11,69,1900
448,11,75,800
455,17,75,1600
832,19,61,1800
21,24,65,3700
303,5,69,1000
154,50,69,0
495,24,61,2900
911,24,58,2800
181,26,50,2100
665,11,68,1300
358,39,58,3100
589,13,68,3500
969,37,60,2000
268,5,69,1900
844,1,78,3900
901,47,58,2800
252,25,62,3100
734,32,68,3700
515,6,65,1400
638,51,52,2300
618,13,63,3500
931,24,74,400
785,30,56,4000
396,43,77,1700
686,32,52,200
328,16,72,1900
63,48,77,500
664,19,50,2500
260,28,54,1800
743,11,68,3500
208,31,56,700
243,12,57,3400
623,13,78,1900
850,44,71,1500
417,27,59,3400
305,3,77,3000
503,13,74,2500
515,32,52,300
42,42,73,1500
83,35,57,1900
633,14,73,1400
244,20,72,1100
439,1,71,400
86,21,69,1500
509,3,51,1800
992,37,66,300
713,9,75,1900
662,7,63,400
640,18,72,1400
912,28,53,2500
672,28,64,1900
981,40,68,3200
90,27,78,2900
874,38,69,2700
576,44,76,500
778,29,52,1400
751,30,50,2500
999,19,64,200
172,6,78,300
917,11,64,500
1002,13,66,3800
61,24,72,800
382,26,61,2600
726,22,75,1700
585,6,51,400
554,51,53,2900
595,17,67,3900
355,40,64,3700
627,4,76,2500
337,37,67,700
138,37,73,1000
916,50,76,400
22,38,62,2200
1009,28,68,800
505,18,61,100
813,27,63,1400
733,11,55,3000
328,26,54,2000
828,1,65,700
874,38,65,4000
236,43,57,3600
352,42,70,2200
612,9,50,1400
854,29,80,500
692,4,64,2800
321,28,67,400
403,22,78,1000
14,22,55,1300
302,49,53,1900
156,39,63,2900
254,19,72,0
554,39,71,600
490,9,59,800
258,6,78,300
105,38,65,3000
1003,19,66,2900
448,12,74,1800
279,33,76,3000
903,7,60,1000
528,15,70,400
492,28,77,2600
621,43,50,3700
738,37,60,3500
701,14,52,1000
123,19,54,1400
383,35,67,2200
401,32,64,2700
469,14,60,2600
713,51,77,3000
585,30,77,900
627,42,69,800
542,2,80,2400
730,10,80,3100
786,12,63,1900
411,36,61,3800
399,31,79,2000
103,36,56,3600
287,35,60,3100
527,12,55,200
461,7,79,1200
727,13,66,3300
324,11,55,2200
551,41,67,300
648,32,69,900
987,16,76,1400
389,34,75,2600
41,45,74,800
728,30,68,200
940,50,55,300
635,23,74,3800
55,49,74,900
690,48,67,1400
215,37,75,1500
739,12,77,2000
815,1,67,2900
476,35,63,2600
752,10,67,1600
15,36,55,3200
60,50,59,2200
45,20,52,1700
771,6,65,3800
349,12,59,2700
283,33,78,3800
142,26,52,900
908,32,76,600
250,7,51,800
499,12,52,3600
476,25,71,3600
682,8,77,3300
735,4,51,3400
205,15,76,1900
911,42,66,500
674,32,66,3800
381,30,72,1700
770,34,57,1400
817,11,57,3400
289,52,69,1900
871,36,78,3600
204,43,51,300
99,52,59,2300
828,51,57,500
849,16,51,3700
213,14,79,3400
266,1,80,2500
462,41,57,2800
530,7,57,500
343,45,52,500
390,51,80,1600
929,48,80,800
717,50,69,2600
592,10,50,400
871,52,80,0
957,4,71,2300
54,48,65,700
526,46,53,2700
520,16,78,1700
301,4,55,3600
576,7,75,4000
342,4,64,3900
303,41,72,1000
386,52,73,2700
339,1,56,800
794,34,55,1000
42,26,61,600
862,40,75,2100
607,43,73,1600
190,13,66,2200
723,32,58,1300
959,21,59,3800
59,17,64,1500
663,17,57,3900
414,3,67,0
962,29,62,400
296,1,52,1000
993,2,75,600
729,10,52,1900
522,47,65,0
68,38,71,1000
357,12,79,100
546,37,51,2300
395,4,70,3300
281,10,70,4000
605,2,59,2600
824,41,56,400
468,37,73,700
754,40,57,1400
728,17,64,1000
313,21,58,500
304,18,73,1500
992,42,55,100
876,44,70,2300
782,43,51,3800
79,41,55,2900
698,36,52,3500
606,12,64,3000
796,47,52,2000
439,1,69,600
596,33,62,2200
629,33,80,3800
582,5,73,2900
339,34,69,1300
212,23,74,1200
908,30,56,1300
348,41,60,3900
945,19,78,700
862,29,53,800
447,25,56,2600
32,4,57,500
184,34,74,400
138,15,64,2100
406,4,78,500
283,13,51,2600
116,27,76,3900
118,40,61,2700
714,39,53,4000
771,49,59,2500
119,38,64,500
58,5,64,3700
124,11,76,800
372,31,56,2600
209,24,67,700
208,37,57,1600
68,26,71,2900
983,3,70,1800
859,9,71,1000
831,31,73,1900
946,23,78,1900
904,21,64,3400
246,14,62,4000
151,6,80,1600
218,40,68,2400
636,47,63,2000
506,34,64,2200
155,31,65,3800
956,15,55,1700
40,5,65,2900
774,26,63,1600
62,49,51,100
606,17,78,2500
801,14,70,1500
721,15,78,3500
478,35,67,1300
318,34,80,1400
163,33,56,3600
593,37,78,600
534,12,65,200
645,34,74,3200
82,21,78,3600
1000,17,69,800
194,32,68,3600
982,18,76,3100
27,3,77,2400
568,40,53,600
973,30,64,3800
207,10,64,100
93,31,57,200
306,14,74,2600
458,29,50,3100
717,47,80,2300
478,45,54,4000
576,46,68,2100
111,51,61,3400
166,9,76,3600
346,42,62,1500
487,6,59,400
612,44,54,1700
236,47,79,3300
611,44,62,0
29,46,71,900
906,16,56,2700
957,33,67,3600
577,24,70,1300
962,4,71,1700
627,40,64,4000
54,24,53,2300
215,6,62,1900
491,41,74,2300
757,12,78,3900
855,1,76,800
978,33,71,3300
959,26,70,3800
59,22,73,3000
929,31,50,3300
283,17,68,3200
524,25,60,1000
554,52,74,1200
44,12,69,1200
968,5,77,2600
851,44,64,3700
867,44,73,3000
662,19,78,1000
812,35,77,300
929,26,60,3700
578,22,64,600
306,23,69,1100
509,7,70,1300
226,19,69,2200
247,16,75,2200
552,40,66,3900
309,11,54,300
170,29,50,2600
952,52,62,2300
898,40,65,2100
422,7,74,3400
528,34,73,100
45,16,66,1200
1006,51,68,2400
200,25,60,1600
565,2,78,3300
695,36,78,2800
843,6,65,4000
265,23,76,3400
627,10,51,2800
765,24,53,500
643,47,74,1500
373,4,68,3300
467,18,76,2300
770,41,57,300
787,23,50,3700
417,9,74,1900
162,47,70,2100
176,20,67,1900
415,14,70,300
63,35,60,3200
238,5,51,1200
15,24,67,700
173,52,56,3800
703,47,69,3600
425,12,76,2500
657,49,68,1800
645,16,73,3800
720,41,62,1000
1007,37,57,1300
994,23,65,1000
33,19,75,100
620,5,54,3800
330,5,52,1100
146,14,60,1500
309,39,78,3900
258,42,60,3300
